A7	D3	E6	71	D0	AC	4D	79	3A	C9	91	FC	1E	47	54	BD
8C	A5	7A	FB	63	B8	DD	D4	E5	B3	C5	BE	A9	88	0C	A2
39	DF	29	DA	2B	A8	CB	4C	4B	22	AA	24	41	70	A6	F9
5A	E2	B0	36	7D	E4	33	FF	60	20	08	8B	5E	AB	7F	78
7C	2C	57	D2	DC	6D	7E	0D	53	94	C3	28	27	06	5F	AD
67	5C	55	48	0E	52	EA	42	5B	5D	30	58	51	59	3C	4E
38	8A	72	14	E7	C6	DE	50	8E	92	D1	77	93	45	9A	CE
2D	03	62	B6	B9	BF	96	6B	3F	07	12	AE	40	34	46	3E
DB	CF	EC	CC	C1	A1	C0	D6	1D	F4	61	3B	10	D8	68	A0
B1	0A	69	6C	49	FA	76	C4	9E	9B	6E	99	C2	B7	98	BC
8F	85	1F	B4	F8	11	2E	00	25	1C	2A	3D	05	4F	7B	B2
32	90	AF	19	A3	F7	73	9D	15	74	EE	CA	9F	0F	1B	75
86	84	9C	4A	97	1A	65	F6	ED	09	BB	26	83	EB	6F	81
04	6A	43	01	17	E1	87	F5	8D	E3	23	80	44	16	66	21
FE	D5	31	D9	35	18	02	64	F2	F1	56	CD	82	C8	BA	F0
EF	E9	E8	FD	89	D7	C7	B5	A4	2F	95	13	0B	F3	E0	37
